id,identifier,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,meta_category_id,meta_ailment_id,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
1,pound,1,40,35,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
2,karate-chop,2,50,25,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
3,double-slap,1,15,10,85,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
4,comet-punch,1,18,15,85,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
5,mega-punch,1,80,20,85,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
6,pay-day,1,40,20,100,0,10,2,35,,0,0,,,,,0,0,0,0,0,0
7,fire-punch,10,75,15,100,0,10,2,5,10,4,4,,,,,0,0,0,10,0,0
8,ice-punch,15,75,15,100,0,10,2,6,10,4,3,,,,,0,0,0,10,0,0
9,thunder-punch,13,75,15,100,0,10,2,7,10,4,1,,,,,0,0,0,10,0,0
10,scratch,1,40,35,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
11,vice-grip,1,55,30,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
12,guillotine,1,,5,30,0,10,2,39,,9,0,,,,,0,0,0,0,0,0
13,razor-wind,1,80,10,100,0,11,3,40,,0,0,,,,,0,0,1,0,0,0
14,swords-dance,1,,20,,0,7,1,51,,2,0,,,,,0,0,0,0,0,0
15,cut,1,50,30,95,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
16,gust,3,40,35,100,0,10,3,150,,0,0,,,,,0,0,0,0,0,0
17,wing-attack,3,60,35,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
18,whirlwind,1,,20,,-6,10,1,29,,12,0,,,,,0,0,0,0,0,0
19,fly,3,90,15,95,0,10,2,156,,0,0,,,,,0,0,0,0,0,0
20,bind,1,15,20,85,0,10,2,43,100,4,8,,,5,6,0,0,0,100,0,0
21,slam,1,80,20,75,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
22,vine-whip,12,45,25,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
23,stomp,1,65,20,100,0,10,2,151,30,0,0,,,,,0,0,0,0,30,0
24,double-kick,2,30,30,100,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
25,mega-kick,1,120,5,75,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
26,jump-kick,2,100,10,95,0,10,2,46,,0,0,,,,,0,0,0,0,0,0
27,rolling-kick,2,60,15,85,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
28,sand-attack,5,,15,100,0,10,1,24,,2,0,,,,,0,0,0,0,0,0
29,headbutt,1,70,15,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
30,horn-attack,1,65,25,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
31,fury-attack,1,15,20,85,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
32,horn-drill,1,,5,30,0,10,2,39,,9,0,,,,,0,0,0,0,0,0
33,tackle,1,40,35,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
34,body-slam,1,85,15,100,0,10,2,7,30,4,1,,,,,0,0,0,30,0,0
35,wrap,1,15,20,90,0,10,2,43,100,4,8,,,5,6,0,0,0,100,0,0
36,take-down,1,90,20,85,0,10,2,49,,0,0,,,,,-25,0,0,0,0,0
37,thrash,1,120,10,100,0,8,2,28,,0,0,,,,,0,0,0,0,0,0
38,double-edge,1,120,15,100,0,10,2,199,,0,0,,,,,-33,0,0,0,0,0
39,tail-whip,1,,30,100,0,11,1,20,,2,0,,,,,0,0,0,0,0,0
40,poison-sting,4,15,35,100,0,10,2,3,30,4,5,,,,,0,0,0,30,0,0
41,twineedle,7,25,20,100,0,10,2,78,20,4,5,2,2,,,0,0,0,20,0,0
42,pin-missile,7,25,20,95,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
43,leer,1,,30,100,0,11,1,20,100,2,0,,,,,0,0,0,0,0,100
