*,species,evolves_from,evolves_to
1,bulbasaur,,2
2,ivysaur,1,3
3,venusaur,2,
4,charmander,,5
5,charmeleon,4,6
6,charizard,5,
7,squirtle,,8
8,wartortle,7,9
9,blastoise,8,
10,caterpie,,11
11,metapod,10,12
12,butterfree,11,
13,weedle,,14
14,kakuna,13,15
15,beedrill,14,
16,pidgey,,17
17,pidgeotto,16,18
18,pidgeot,17,
19,rattata,,20
20,raticate,19,
21,spearow,,22
22,fearow,21,
23,ekans,,24
24,arbok,23,
25,pikachu,172,26
26,raichu,25,
27,sandshrew,,28
28,sandslash,27,
29,nidoran-f,,30
30,nidorina,29,31
31,nidoqueen,30,
32,nidoran-m,,33
33,nidorino,32,34
34,nidoking,33,
35,clefairy,173,36
36,clefable,35,
37,vulpix,,38
38,ninetales,37,
39,jigglypuff,174,40
40,wigglytuff,39,
41,zubat,,42
42,golbat,41,169
43,oddish,,44
44,gloom,43,45,182
45,vileplume,44,
46,paras,,47
47,parasect,46,
48,venonat,,49
49,venomoth,48,
50,diglett,,51
51,dugtrio,50,
52,meowth,,53
53,persian,52,
54,psyduck,,55
55,golduck,54,
56,mankey,,57
57,primeape,56,
58,growlithe,,59
59,arcanine,58,
60,poliwag,,61
61,poliwhirl,60,62,186
62,poliwrath,61,
63,abra,,64
64,kadabra,63,65
65,alakazam,64,
66,machop,,67
67,machoke,66,68
68,machamp,67,
69,bellsprout,,70
70,weepinbell,69,71
71,victreebel,70,
72,tentacool,,73
73,tentacruel,72,
74,geodude,,75
75,graveler,74,76
76,golem,75,
77,ponyta,,78
78,rapidash,77,
79,slowpoke,,80,199
80,slowbro,79,
81,magnemite,,82
82,magneton,81,462
83,farfetchd,,
84,doduo,,85
85,dodrio,84,
86,seel,,87
87,dewgong,86,
88,grimer,,89
89,muk,88,
90,shellder,,91
91,cloyster,90,
92,gastly,,93
93,haunter,92,94
94,gengar,93,
95,onix,,208
96,drowzee,,97
97,hypno,96,
98,krabby,,99
99,kingler,98,
100,voltorb,,101
101,electrode,100,
102,exeggcute,,103
103,exeggutor,102,
104,cubone,,105
105,marowak,104,
106,hitmonlee,236,
107,hitmonchan,236,
108,lickitung,,463
109,koffing,,110
110,weezing,109,
111,rhyhorn,,112
112,rhydon,111,464
113,chansey,440,242
114,tangela,,465
115,kangaskhan,,
116,horsea,,117
117,seadra,116,230
118,goldeen,,119
119,seaking,118,
120,staryu,,121
121,starmie,120,
122,mr-mime,439,
123,scyther,,212
124,jynx,238,
125,electabuzz,239,466
126,magmar,240,467
127,pinsir,,
128,tauros,,
129,magikarp,,130
130,gyarados,129,
131,lapras,,
132,ditto,,
133,eevee,,134,135,136,196,197,470,471,700
134,vaporeon,133,
135,jolteon,133,
136,flareon,133,
137,porygon,,233
138,omanyte,,139
139,omastar,138,
140,kabuto,,141
141,kabutops,140,
142,aerodactyl,,
143,snorlax,446,
144,articuno,,
145,zapdos,,
146,moltres,,
147,dratini,,148
148,dragonair,147,149
149,dragonite,148,
150,mewtwo,,
151,mew,,
152,chikorita,,153
153,bayleef,152,154
154,meganium,153,
155,cyndaquil,,156
156,quilava,155,157
157,typhlosion,156,
158,totodile,,159
159,croconaw,158,160
160,feraligatr,159,
161,sentret,,162
162,furret,161,
163,hoothoot,,164
164,noctowl,163,
165,ledyba,,166
