level,experience
1,0
2,10
3,33
4,80
5,156
6,270
7,428
8,640
9,911
10,1250
11,1663
12,2160
13,2746
14,3430
15,4218
16,5120
17,6141
18,7290
19,8573
20,10000
21,11576
22,13310
23,15208
24,17280
25,19531
26,21970
27,24603
28,27440
29,30486
30,33750
31,37238
32,40960
33,44921
34,49130
35,53593
36,58320
37,63316
38,68590
39,74148
40,80000
41,86151
42,92610
43,99383
44,106480
45,113906
46,121670
47,129778
48,138240
49,147061
50,156250
51,165813
52,175760
53,186096
54,196830
55,207968
56,219520
57,231491
58,243890
59,256723
60,270000
61,283726
62,297910
63,312558
64,327680
65,343281
66,359370
67,375953
68,393040
69,410636
70,428750
71,447388
72,466560
73,486271
74,506530
75,527343
76,548720
77,570666
78,593190
79,616298
80,640000
81,664301
82,689210
83,714733
84,740880
85,767656
86,795070
87,823128
88,851840
89,881211
90,911250
91,941963
92,973360
93,1005446
94,1038230
95,1071718
96,1105920
97,1140841
98,1176490
99,1212873
100,1250000

